snapshot_date,scrape_run_id,watch_id,product_code,series,product_name,color,mrp,source_url,is_synthetic
2026-05-10,seed-2026-05-10,W001,VGP-ABR-81121K,Vignette Prime,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Antique Bronze,Antique Bronze,68500.00,https://www.jaquar.com/en/vignette-prime-floor-mounted-bath-lever?Id=6244,TRUE
2026-05-17,seed-2026-05-17,W001,VGP-ABR-81121K,Vignette Prime,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Antique Bronze,Antique Bronze,68500.00,https://www.jaquar.com/en/vignette-prime-floor-mounted-bath-lever?Id=6244,TRUE
2026-05-24,seed-2026-05-24,W001,VGP-ABR-81121K,Vignette Prime,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Antique Bronze,Antique Bronze,68500.00,https://www.jaquar.com/en/vignette-prime-floor-mounted-bath-lever?Id=6244,TRUE
2026-05-31,seed-2026-05-31,W001,VGP-ABR-81121K,Vignette Prime,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Antique Bronze,Antique Bronze,68500.00,https://www.jaquar.com/en/vignette-prime-floor-mounted-bath-lever?Id=6244,TRUE
2026-06-07,seed-2026-06-07,W001,VGP-ABR-81121K,Vignette Prime,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Antique Bronze,Antique Bronze,68500.00,https://www.jaquar.com/en/vignette-prime-floor-mounted-bath-lever?Id=6244,TRUE
2026-06-14,seed-2026-06-14,W001,VGP-ABR-81121K,Vignette Prime,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Antique Bronze,Antique Bronze,68500.00,https://www.jaquar.com/en/vignette-prime-floor-mounted-bath-lever?Id=6244,TRUE
2026-06-21,seed-2026-06-21,W001,VGP-ABR-81121K,Vignette Prime,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Antique Bronze,Antique Bronze,68500.00,https://www.jaquar.com/en/vignette-prime-floor-mounted-bath-lever?Id=6244,TRUE
2026-05-10,seed-2026-05-10,W002,VGP-ACR-81121K,Vignette Prime,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Antique Copper,Antique Copper,65417.50,https://www.jaquar.com/en/vignette-prime-floor-mounted-bath-lever?Id=6244,TRUE
2026-05-17,seed-2026-05-17,W002,VGP-ACR-81121K,Vignette Prime,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Antique Copper,Antique Copper,65417.50,https://www.jaquar.com/en/vignette-prime-floor-mounted-bath-lever?Id=6244,TRUE
2026-05-24,seed-2026-05-24,W002,VGP-ACR-81121K,Vignette Prime,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Antique Copper,Antique Copper,65417.50,https://www.jaquar.com/en/vignette-prime-floor-mounted-bath-lever?Id=6244,TRUE
2026-05-31,seed-2026-05-31,W002,VGP-ACR-81121K,Vignette Prime,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Antique Copper,Antique Copper,65417.50,https://www.jaquar.com/en/vignette-prime-floor-mounted-bath-lever?Id=6244,TRUE
2026-06-07,seed-2026-06-07,W002,VGP-ACR-81121K,Vignette Prime,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Antique Copper,Antique Copper,65417.50,https://www.jaquar.com/en/vignette-prime-floor-mounted-bath-lever?Id=6244,TRUE
2026-06-14,seed-2026-06-14,W002,VGP-ACR-81121K,Vignette Prime,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Antique Copper,Antique Copper,65417.50,https://www.jaquar.com/en/vignette-prime-floor-mounted-bath-lever?Id=6244,TRUE
2026-06-21,seed-2026-06-21,W002,VGP-ACR-81121K,Vignette Prime,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Antique Copper,Antique Copper,68500.00,https://www.jaquar.com/en/vignette-prime-floor-mounted-bath-lever?Id=6244,TRUE
2026-05-10,seed-2026-05-10,W003,VGP-GRF-81121K,Vignette Prime,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Graphite,Graphite,68500.00,https://www.jaquar.com/en/vignette-prime-floor-mounted-bath-lever?Id=6244,TRUE
2026-05-17,seed-2026-05-17,W003,VGP-GRF-81121K,Vignette Prime,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Graphite,Graphite,68500.00,https://www.jaquar.com/en/vignette-prime-floor-mounted-bath-lever?Id=6244,TRUE
2026-05-24,seed-2026-05-24,W003,VGP-GRF-81121K,Vignette Prime,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Graphite,Graphite,68500.00,https://www.jaquar.com/en/vignette-prime-floor-mounted-bath-lever?Id=6244,TRUE
2026-05-31,seed-2026-05-31,W003,VGP-GRF-81121K,Vignette Prime,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Graphite,Graphite,64732.50,https://www.jaquar.com/en/vignette-prime-floor-mounted-bath-lever?Id=6244,TRUE
2026-06-07,seed-2026-06-07,W003,VGP-GRF-81121K,Vignette Prime,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Graphite,Graphite,64732.50,https://www.jaquar.com/en/vignette-prime-floor-mounted-bath-lever?Id=6244,TRUE
2026-06-14,seed-2026-06-14,W003,VGP-GRF-81121K,Vignette Prime,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Graphite,Graphite,64732.50,https://www.jaquar.com/en/vignette-prime-floor-mounted-bath-lever?Id=6244,TRUE
2026-06-21,seed-2026-06-21,W003,VGP-GRF-81121K,Vignette Prime,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Graphite,Graphite,68500.00,https://www.jaquar.com/en/vignette-prime-floor-mounted-bath-lever?Id=6244,TRUE
2026-05-10,seed-2026-05-10,W004,VGP-SSF-81121K,Vignette Prime,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Stainless Steel,Stainless Steel,66445.00,https://www.jaquar.com/en/vignette-prime-floor-mounted-bath-lever?Id=6244,TRUE
2026-05-17,seed-2026-05-17,W004,VGP-SSF-81121K,Vignette Prime,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Stainless Steel,Stainless Steel,66445.00,https://www.jaquar.com/en/vignette-prime-floor-mounted-bath-lever?Id=6244,TRUE
2026-05-24,seed-2026-05-24,W004,VGP-SSF-81121K,Vignette Prime,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Stainless Steel,Stainless Steel,69527.50,https://www.jaquar.com/en/vignette-prime-floor-mounted-bath-lever?Id=6244,TRUE
2026-05-31,seed-2026-05-31,W004,VGP-SSF-81121K,Vignette Prime,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Stainless Steel,Stainless Steel,69527.50,https://www.jaquar.com/en/vignette-prime-floor-mounted-bath-lever?Id=6244,TRUE
2026-06-07,seed-2026-06-07,W004,VGP-SSF-81121K,Vignette Prime,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Stainless Steel,Stainless Steel,66102.50,https://www.jaquar.com/en/vignette-prime-floor-mounted-bath-lever?Id=6244,TRUE
2026-06-14,seed-2026-06-14,W004,VGP-SSF-81121K,Vignette Prime,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Stainless Steel,Stainless Steel,66102.50,https://www.jaquar.com/en/vignette-prime-floor-mounted-bath-lever?Id=6244,TRUE
2026-06-21,seed-2026-06-21,W004,VGP-SSF-81121K,Vignette Prime,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Stainless Steel,Stainless Steel,68500.00,https://www.jaquar.com/en/vignette-prime-floor-mounted-bath-lever?Id=6244,TRUE
2026-05-10,seed-2026-05-10,W005,VGP-ABR-81121K,Vignette Prime,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Antique Bronze,Antique Bronze,71240.00,https://www.jaquar.com/en/vignette-prime-floor-mounted-bath-lever?Id=6245,TRUE
2026-05-17,seed-2026-05-17,W005,VGP-ABR-81121K,Vignette Prime,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Antique Bronze,Antique Bronze,71240.00,https://www.jaquar.com/en/vignette-prime-floor-mounted-bath-lever?Id=6245,TRUE
2026-05-24,seed-2026-05-24,W005,VGP-ABR-81121K,Vignette Prime,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Antique Bronze,Antique Bronze,71240.00,https://www.jaquar.com/en/vignette-prime-floor-mounted-bath-lever?Id=6245,TRUE
2026-05-31,seed-2026-05-31,W005,VGP-ABR-81121K,Vignette Prime,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Antique Bronze,Antique Bronze,68500.00,https://www.jaquar.com/en/vignette-prime-floor-mounted-bath-lever?Id=6245,TRUE
2026-06-07,seed-2026-06-07,W005,VGP-ABR-81121K,Vignette Prime,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Antique Bronze,Antique Bronze,68500.00,https://www.jaquar.com/en/vignette-prime-floor-mounted-bath-lever?Id=6245,TRUE
2026-06-14,seed-2026-06-14,W005,VGP-ABR-81121K,Vignette Prime,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Antique Bronze,Antique Bronze,68500.00,https://www.jaquar.com/en/vignette-prime-floor-mounted-bath-lever?Id=6245,TRUE
2026-06-21,seed-2026-06-21,W005,VGP-ABR-81121K,Vignette Prime,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Antique Bronze,Antique Bronze,68500.00,https://www.jaquar.com/en/vignette-prime-floor-mounted-bath-lever?Id=6245,TRUE
2026-05-10,seed-2026-05-10,W006,VGP-ACR-81121K,Vignette Prime,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Antique Copper,Antique Copper,67472.50,https://www.jaquar.com/en/vignette-prime-floor-mounted-bath-lever?Id=6245,TRUE
2026-05-17,seed-2026-05-17,W006,VGP-ACR-81121K,Vignette Prime,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Antique Copper,Antique Copper,67472.50,https://www.jaquar.com/en/vignette-prime-floor-mounted-bath-lever?Id=6245,TRUE
2026-05-24,seed-2026-05-24,W006,VGP-ACR-81121K,Vignette Prime,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Antique Copper,Antique Copper,67472.50,https://www.jaquar.com/en/vignette-prime-floor-mounted-bath-lever?Id=6245,TRUE
2026-05-31,seed-2026-05-31,W006,VGP-ACR-81121K,Vignette Prime,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Antique Copper,Antique Copper,70897.50,https://www.jaquar.com/en/vignette-prime-floor-mounted-bath-lever?Id=6245,TRUE
2026-06-07,seed-2026-06-07,W006,VGP-ACR-81121K,Vignette Prime,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Antique Copper,Antique Copper,70897.50,https://www.jaquar.com/en/vignette-prime-floor-mounted-bath-lever?Id=6245,TRUE
2026-06-14,seed-2026-06-14,W006,VGP-ACR-81121K,Vignette Prime,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Antique Copper,Antique Copper,67472.50,https://www.jaquar.com/en/vignette-prime-floor-mounted-bath-lever?Id=6245,TRUE
2026-06-21,seed-2026-06-21,W006,VGP-ACR-81121K,Vignette Prime,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Antique Copper,Antique Copper,68500.00,https://www.jaquar.com/en/vignette-prime-floor-mounted-bath-lever?Id=6245,TRUE
2026-05-10,seed-2026-05-10,W007,VGP-GRF-81121K,Vignette Prime,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Graphite,Graphite,68500.00,https://www.jaquar.com/en/vignette-prime-floor-mounted-bath-lever?Id=6245,TRUE
2026-05-17,seed-2026-05-17,W007,VGP-GRF-81121K,Vignette Prime,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Graphite,Graphite,68500.00,https://www.jaquar.com/en/vignette-prime-floor-mounted-bath-lever?Id=6245,TRUE
