watch_id,product_code,series,product_name,color,product_url,category,current_mrp,alert_threshold_pct,is_active,priority,notes
W001,VGP-ABR-81121K,Vignette Prime,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Antique Bronze,Antique Bronze,https://www.jaquar.com/en/vignette-prime-floor-mounted-bath-lever?Id=6244,Faucets,68500.00,2.5,TRUE,1,seed watchlist from full Jaquar faucet catalog
W002,VGP-ACR-81121K,Vignette Prime,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Antique Copper,Antique Copper,https://www.jaquar.com/en/vignette-prime-floor-mounted-bath-lever?Id=6244,Faucets,68500.00,2.5,TRUE,1,seed watchlist from full Jaquar faucet catalog
W003,VGP-GRF-81121K,Vignette Prime,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Graphite,Graphite,https://www.jaquar.com/en/vignette-prime-floor-mounted-bath-lever?Id=6244,Faucets,68500.00,2.5,TRUE,1,seed watchlist from full Jaquar faucet catalog
W004,VGP-SSF-81121K,Vignette Prime,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Stainless Steel,Stainless Steel,https://www.jaquar.com/en/vignette-prime-floor-mounted-bath-lever?Id=6244,Faucets,68500.00,2.5,TRUE,1,seed watchlist from full Jaquar faucet catalog
W005,VGP-ABR-81121K,Vignette Prime,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Antique Bronze,Antique Bronze,https://www.jaquar.com/en/vignette-prime-floor-mounted-bath-lever?Id=6245,Faucets,68500.00,2.5,TRUE,1,seed watchlist from full Jaquar faucet catalog
W006,VGP-ACR-81121K,Vignette Prime,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Antique Copper,Antique Copper,https://www.jaquar.com/en/vignette-prime-floor-mounted-bath-lever?Id=6245,Faucets,68500.00,2.5,TRUE,1,seed watchlist from full Jaquar faucet catalog
W007,VGP-GRF-81121K,Vignette Prime,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Graphite,Graphite,https://www.jaquar.com/en/vignette-prime-floor-mounted-bath-lever?Id=6245,Faucets,68500.00,2.5,TRUE,1,seed watchlist from full Jaquar faucet catalog
W008,VGP-SSF-81121K,Vignette Prime,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Stainless Steel,Stainless Steel,https://www.jaquar.com/en/vignette-prime-floor-mounted-bath-lever?Id=6245,Faucets,68500.00,2.5,TRUE,1,seed watchlist from full Jaquar faucet catalog
W009,SNR-GMP-91017PK,Sensor Faucets,Laguna Tall Boy Sensor Faucet - Gold Matt PVD,Gold Matt PVD,https://www.jaquar.com/en/laguna-tall-boy-sensor-faucet-4?Id=10994,Faucets,31100.00,2.5,TRUE,1,seed watchlist from full Jaquar faucet catalog
W010,SNR-GBP-91017PK,Sensor Faucets,Laguna Tall Boy Sensor Faucet - Gold Bright PVD,Gold Bright PVD,https://www.jaquar.com/en/laguna-tall-boy-sensor-faucet-4?Id=10994,Faucets,31100.00,2.5,TRUE,1,seed watchlist from full Jaquar faucet catalog
